occupation_code	occupation_text
0000	All Occupations
0007	Management, Professional, and Related Occupations
0008	Management, Business, and Financial Operations Occupations
0009	Management Occupations
0010	Chief Executives
0020	General and Operations Managers
0030	Legislators
0040	Advertising and Promotions Managers
0050	Marketing and Sales Managers
0060	Public Relations and Fundraising Managers
0100	Administrative Services Managers
0110	Computer and Information Systems Managers
0120	Financial Managers
0135	Compensation and Benefits Managers
0136	Human Resources Managers
0137	Training and Development Managers
0140	Industrial Production Managers
0150	Purchasing Managers
0160	Transportation, Storage, and Distribution Managers
0200	Farm, Ranch, and Other Agricultural Managers
0205	Farmers, Ranchers, and Other Agricultural Managers
0220	Construction Managers
0230	Education Administrators
0300	Architectural and Engineering Managers
0310	Food Service Managers
0325	Funeral Service Managers
0330	Gaming Managers
0340	Lodging Managers
0350	Medical and Health Services Managers
0360	Natural Sciences Managers
0400	Postmasters and Mail Superintendents
0410	Property, Real Estate, and Community Association Managers
0420	Social and Community Service Managers
0425	Emergency Management Directors
0430	Managers, All Other
0499	Business and Financial Operations Occupations
0500	Agents and Business Managers of Artists, Performers, and Athletes
0510	Buyers and Purchasing Agents, Farm Products
0520	Wholesale and Retail Buyers, Except Farm Products
0530	Purchasing Agents, Except Wholesale, Retail, and Farm Products
0540	Claims Adjusters, Appraisers, Examiners, and Investigators
0560	Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation
0565	Compliance Officers
0600	Cost Estimators
0620	Human Resources, Training, and Labor Relations Specialists
0630	Human Resources Workers
0640	Compensation, Benefits, and Job Analysis Specialists
0650	Training and Development Specialists
0700	Logisticians
0710	Management Analysts
0725	Meeting, Convention, and Event Planners
0726	Fundraisers
0735	Market Research Analysts and Marketing Specialists
0740	Business Operations Specialists, All Other
0800	Accountants and Auditors
0810	Appraisers and Assessors of Real Estate
0820	Budget Analysts
0830	Credit Analysts
0840	Financial Analysts
0850	Personal Financial Advisors
0860	Insurance Underwriters
0900	Financial Examiners
0910	Credit Counselors and Loan Officers
0930	Tax Examiners and Collectors, and Revenue Agents
0940	Tax Preparers
0950	Financial Specialists, All Other
0998	Professional and Related Occupations
0999	Computer and Mathematical Occupations
1000	Computer Scientists and Systems Analysts
1005	Computer and Information Research Scientists
1006	Computer Systems Analysts
1007	Information Security Analysts
1010	Computer Programmers
1020	Software Developers, Applications and Systems Software
1030	Web Developers
1050	Computer Support Specialists
1060	Database Administrators
1105	Network and Computer Systems Administrators
1106	Computer Network Architects
1107	Computer Occupations, All Other
1110	Network Systems and Data Communications Analysts
1200	Actuaries
1210	Mathematicians
1220	Operations Research Analysts
1230	Statisticians
1240	Miscellaneous Mathematical Science Occupations
1299	Architecture and Engineering Occupations
1300	Architects, Except Naval
1310	Surveyors, Cartographers, and Photogrammetrists
1320	Aerospace Engineers
1330	Agricultural Engineers
1340	Biomedical Engineers
1350	Chemical Engineers
1360	Civil Engineers
1400	Computer Hardware Engineers
1410	Electrical and Electronics Engineers
1420	Environmental Engineers
1430	Industrial Engineers, Including Health and Safety
1440	Marine Engineers and Naval Architects
1450	Materials Engineers
1460	Mechanical Engineers
1500	Mining and Geological Engineers, Including Mining Safety Engineers
1510	Nuclear Engineers
1520	Petroleum Engineers
1530	Engineers, All Other
1540	Drafters
1550	Engineering Technicians, Except Drafters
1560	Surveying and Mapping Technicians
1599	Life, Physical, and Social Science Occupations
1600	Agricultural and Food Scientists
1610	Biological Scientists
1640	Conservation Scientists and Foresters
1650	Medical Scientists
1660	Life Scientists, All Other
1700	Astronomers and Physicists
1710	Atmospheric and Space Scientists
1720	Chemists and Materials Scientists
1740	Environmental Scientists and Geoscientists
1760	Physical Scientists, All Other
1800	Economists
1810	Market and Survey Researchers
1815	Survey Researchers
1820	Psychologists
1830	Sociologists
1840	Urban and Regional Planners
1860	Miscellaneous Social Scientists and Related Workers
1900	Agricultural and Food Science Technicians
1910	Biological Technicians
1920	Chemical Technicians
1930	Geological and Petroleum Technicians
1940	Nuclear Technicians
1950	Social Science Research Assistants
1965	Miscellaneous Life, Physical, and Social Science Technicians
1999	Community and Social Service Occupations
2000	Counselors
2010	Social Workers
2015	Probation Officers and Correctional Treatment Specialists
2016	Social and Human Service Assistants
2020	Miscellaneous Community and Social Service Specialists
2025	Misc Community and Social Service Specialists, Including Health Educators, Community Health Workers
2040	Clergy
2050	Directors, Religious Activities and Education
2060	Religious Workers, All Other
2099	Legal Occupations
2100	Lawyers
2105	Judicial Law Clerks
2110	Judges, Magistrates, and Other Judicial Workers
2145	Paralegals and Legal Assistants
2160	Miscellaneous Legal Support Workers
2199	Education, Training, and Library Occupations
2200	Postsecondary Teachers
2300	Preschool and Kindergarten Teachers
2310	Elementary and Middle School Teachers
2320	Secondary School Teachers
2330	Special Education Teachers
2340	Other Teachers and Instructors
2400	Archivists, Curators, and Museum Technicians
2430	Librarians
2440	Library Technicians
2540	Teacher Assistants
2550	Other Education, Training, and Library Workers
2599	Arts, Design, Entertainment, Sports, and Media Occupations
2600	Artists and Related Workers
2630	Designers
2700	Actors
2710	Producers and Directors
2720	Athletes, Coaches, Umpires, and Related Workers
2740	Dancers and Choreographers
2750	Musicians, Singers, and Related Workers
2760	Entertainers and Performers, Sports and Related Workers, All Other
2800	Announcers
2810	News Analysts, Reporters and Correspondents
2825	Public Relations Specialists
2830	Editors
2840	Technical Writers
2850	Writers and Authors
2860	Miscellaneous Media and Communication Workers
2900	Broadcast and Sound Engineering Technicians and Radio Operators
2910	Photographers
2920	Television, Video, and Motion Picture Camera Operators and Editors
2960	Media and Communication Equipment Workers, All Other
2999	Healthcare Practitioner and Technical Occupations
3000	Chiropractors
3010	Dentists
3030	Dietitians and Nutritionists
3040	Optometrists
3050	Pharmacists
3060	Physicians and Surgeons
3110	Physician Assistants
3120	Podiatrists
3140	Audiologists
3150	Occupational Therapists
3160	Physical Therapists
3200	Radiation Therapists
3210	Recreational Therapists
3220	Respiratory Therapists
3230	Speech-Language Pathologists
3235	Exercise Physiologists
3245	Therapists, All Other
3250	Veterinarians
3255	Registered Nurses
3256	Nurse Anesthetists
3257	Nurse Midwives
3258	Nurse Practitioners
3260	Health Diagnosing and Treating Practitioners, All Other
3300	Clinical Laboratory Technologists and Technicians
3310	Dental Hygienists
3320	Diagnostic Related Technologists and Technicians
3400	Emergency Medical Technicians and Paramedics
3410	Health Diagnosing and Treating Practitioner Support Technicians
3420	Health Practitioner Support Technologists and Technicians
3500	Licensed Practical and Licensed Vocational Nurses
3510	Medical Records and Health Information Technicians
3520	Opticians, Dispensing
3535	Miscellaneous Health Technologists and Technicians
3540	Other Healthcare Practitioners and Technical Occupations
3597	Service Occupations
3599	Healthcare Support Occupations
3600	Nursing, Psychiatric, and Home Health Aides
3610	Occupational Therapy Assistants and Aides
3620	Physical Therapist Assistants and Aides
3630	Massage Therapists
3640	Dental Assistants
3645	Medical Assistants
3646	Medical Transcriptionists
3647	Pharmacy Aides
3648	Veterinary Assistants and Laboratory Animal Caretakers
3649	Phlebotomists
3655	Miscellaneous Healthcare Support Occupations, Including Medical Equipment Preparers
3699	Protective Service Occupations
3700	First-Line Supervisors of Correctional Officers
3710	First-Line Supervisors of Police and Detectives
3720	First-Line Supervisors of Fire Fighting and Prevention Workers
3730	First-Line Supervisors of Protective Service Workers, All Other
3740	Firefighters
3750	Fire Inspectors
3800	Bailiffs, Correctional Officers, and Jailers
3820	Detectives and Criminal Investigators
3830	Fish and Game Wardens
3840	Parking Enforcement Workers
3850	Police and Sheriff's Patrol Officers
3860	Transit and Railroad Police
3900	Animal Control Workers
3910	Private Detectives and Investigators
3930	Security Guards and Gaming Surveillance Officers
3940	Crossing Guards
3945	Transportation Security Screeners
3955	Lifeguards and Other Recreational, and All Other Protective Service Workers
3999	Food Preparation and Serving Related Occupations
4000	Chefs and Head Cooks
4010	First-Line Supervisors of Food Preparation and Serving Workers
4020	Cooks
4030	Food Preparation Workers
4040	Bartenders
4050	Combined Food Preparation and Serving Workers, Including Fast Food
4060	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop
4110	Waiters and Waitresses
4120	Food Servers, Nonrestaurant
4130	Dining Room and Cafeteria Attendants and Bartender Helpers
4140	Dishwashers
4150	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop
4160	Food Preparation and Serving Related Workers, All Other
4199	Building and Grounds Cleaning and Maintenance Occupations
4200	First-Line Supervisors of Housekeeping and Janitorial Workers
4210	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
4220	Janitors and Building Cleaners
4230	Maids and Housekeeping Cleaners
4240	Pest Control Workers
4250	Grounds Maintenance Workers
4299	Personal Care and Service Occupations
4300	First-Line Supervisors of Gaming Workers
4320	First-Line Supervisors of Personal Service Workers
4340	Animal Trainers
4350	Nonfarm Animal Caretakers
4400	Gaming Services Workers
4410	Motion Picture Projectionists
4420	Ushers, Lobby Attendants, and Ticket Takers
4430	Miscellaneous Entertainment Attendants and Related Workers
4460	Embalmers and Funeral Attendants
4465	Morticians, Undertakers, and Funeral Directors
4500	Barbers
4510	Hairdressers, Hairstylists, and Cosmetologists
4520	Miscellaneous Personal Appearance Workers
4530	Baggage Porters, Bellhops, and Concierges
4540	Tour and Travel Guides
4550	Transportation Attendants
4600	Childcare Workers
